,number,value,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
106,106,0.4030239297647097,90,,4,10,200,COMPLETE
107,107,0.4191167953870716,110,log2,2,10,300,COMPLETE
108,108,0.4030239297647097,110,,4,10,200,COMPLETE
109,109,0.4030239297647097,90,,4,10,200,COMPLETE
110,110,0.40365839097125555,70,,4,8,200,COMPLETE
111,111,0.4030239297647097,110,,4,10,200,COMPLETE
112,112,0.4030239297647097,110,,4,10,200,COMPLETE
113,113,0.4030239297647097,110,,4,10,200,COMPLETE
114,114,0.4030239297647097,110,,4,10,200,COMPLETE
115,115,0.4030239297647097,110,,4,10,200,COMPLETE
116,116,0.4030239297647097,110,,4,10,200,COMPLETE
117,117,0.4030239297647097,110,,4,10,200,COMPLETE
118,118,0.4030239297647097,90,,4,10,200,COMPLETE
119,119,0.4030239297647097,110,,4,10,200,COMPLETE
